order,title,points,comments,title_count_words,timestamp,filter,crawl_id,crawler_version,runtime
6,A relativistic framework to establish coordinate time on the Moon and beyond (arxiv.org),75,24,13,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
5,Iconography of the X Window System: The Boot Stipple (matttproud.com),29,19,10,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
27,Model Rocket Nails Vertical Landing After Three-Year Effort (hackaday.com),67,19,9,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
20,Children's mental models of recursive LOGO programs (1985) (hal.science),48,8,9,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
16,Plane Barely Recovering from Spin in Mountains (avweb.com),8,3,8,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
28,Solving Concurrency Bugs Using Schedules and Imagination (ankush.dev),41,2,8,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
19,Serious errors plague DNA tool that's a workhorse of biology (nature.com),40,1,11,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
2,"""Rulers of the Ancient World"" period correct measuring tools (burn-heart.com)",3,0,10,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
17,Supabase (YC S20) Is Hiring an Auth Engineer (Remote) (greenhouse.io),0,0,10,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
26,SpiceNice – An Open Database of Culinary Spices (spicenice.pages.dev),5,0,9,2024-07-11 18:51:08.593471,More than 5 words in title sorted by comments,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
22,Multi-agent chatbot murder mystery (onrender.com),278,117,5,2024-07-11 18:51:08.594043,Less than or equal to 5 words in title sorted by points,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
30,SimSig: Railway Signalling Simulations (simsig.co.uk),216,87,5,2024-07-11 18:51:08.594043,Less than or equal to 5 words in title sorted by points,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
13,The Planets Today (theplanetstoday.com),43,20,4,2024-07-11 18:51:08.594043,Less than or equal to 5 words in title sorted by points,63cbbccf-55d6-49d6-9191-d81a1ee5bef0,V. 1.0,0.00672602653503418
